Date,TTM,Expiry,Strike Price,Settle Price,Underlying Value
3-Sep-12,114,27-Dec-12,5000,453.3,5253.75
4-Sep-12,113,27-Dec-12,5000,457.15,5274
5-Sep-12,112,27-Dec-12,5000,424.65,5225.7
24-Dec-12,3,27-Dec-12,5000,863.35,5855.75
26-Dec-12,1,27-Dec-12,5000,914.05,5905.6
3-Sep-12,114,27-Dec-12,5100,388.4,5253.75
4-Sep-12,113,27-Dec-12,5100,359.15,5274
5-Sep-12,112,27-Dec-12,5100,345,5225.7
6-Sep-12,111,27-Dec-12,5100,326.6,5238.4
19-Dec-12,8,27-Dec-12,5100,845,5929.6
20-Dec-12,7,27-Dec-12,5100,825.6,5916.4
21-Dec-12,6,27-Dec-12,5100,753.95,5847.7
24-Dec-12,3,27-Dec-12,5100,763.5,5855.75
26-Dec-12,1,27-Dec-12,5100,810.85,5905.6
3-Sep-12,114,27-Dec-12,5200,314.9,5253.75
4-Sep-12,113,27-Dec-12,5200,305,5274
21-Dec-12,6,27-Dec-12,5200,652.8,5847.7
24-Dec-12,3,27-Dec-12,5200,665.45,5855.75
26-Dec-12,1,27-Dec-12,5200,711.05,5905.6
3-Sep-12,114,27-Dec-12,5300,236.6,5253.75
4-Sep-12,113,27-Dec-12,5300,243.55,5274
20-Dec-12,7,27-Dec-12,5300,623.55,5916.4
21-Dec-12,6,27-Dec-12,5300,551,5847.7
24-Dec-12,3,27-Dec-12,5300,563.9,5855.75
26-Dec-12,1,27-Dec-12,5300,609.8,5905.6
3-Sep-12,114,27-Dec-12,5400,202,5253.75
4-Sep-12,113,27-Dec-12,5400,178,5274
5-Sep-12,112,27-Dec-12,5400,170,5225.7
6-Sep-12,111,27-Dec-12,5400,168,5238.4
7-Sep-12,110,27-Dec-12,5400,207.1,5342.1
8-Sep-12,109,27-Dec-12,5400,212.9,5358.7
10-Sep-12,107,27-Dec-12,5400,210.8,5363.45
11-Sep-12,106,27-Dec-12,5400,229.2,5390
12-Sep-12,105,27-Dec-12,5400,248.05,5431
13-Sep-12,104,27-Dec-12,5400,252.5,5435.35
14-Sep-12,103,27-Dec-12,5400,341.7,5577.65
17-Sep-12,100,27-Dec-12,5400,370,5610
18-Sep-12,99,27-Dec-12,5400,380.85,5600.05
20-Sep-12,97,27-Dec-12,5400,343.5,5554.25
21-Sep-12,96,27-Dec-12,5400,400.15,5691.15
24-Sep-12,93,27-Dec-12,5400,428,5669.6
25-Sep-12,92,27-Dec-12,5400,439.9,5673.9
26-Sep-12,91,27-Dec-12,5400,418,5663.45
27-Sep-12,90,27-Dec-12,5400,407,5649.5
28-Sep-12,89,27-Dec-12,5400,432,5703.3
1-Oct-12,86,27-Dec-12,5400,452,5718.8
3-Oct-12,84,27-Dec-12,5400,462.2,5731.25
4-Oct-12,83,27-Dec-12,5400,512.05,5787.6
5-Oct-12,82,27-Dec-12,5400,472,5746.95
8-Oct-12,79,27-Dec-12,5400,412.35,5676
9-Oct-12,78,27-Dec-12,5400,427.6,5704.6
10-Oct-12,77,27-Dec-12,5400,389.25,5652.15
11-Oct-12,76,27-Dec-12,5400,430.25,5708.05
12-Oct-12,75,27-Dec-12,5400,399.9,5676.05
15-Oct-12,72,27-Dec-12,5400,407,5687.25
16-Oct-12,71,27-Dec-12,5400,356.3,5648
17-Oct-12,70,27-Dec-12,5400,369.35,5660.25
18-Oct-12,69,27-Dec-12,5400,425,5718.7
19-Oct-12,68,27-Dec-12,5400,390,5684.25
22-Oct-12,65,27-Dec-12,5400,411.3,5717.15
23-Oct-12,64,27-Dec-12,5400,375.1,5691.4
25-Oct-12,62,27-Dec-12,5400,394.45,5705.3
26-Oct-12,61,27-Dec-12,5400,353.7,5664.3
29-Oct-12,58,27-Dec-12,5400,360.35,5665.6
30-Oct-12,57,27-Dec-12,5400,304.5,5597.9
31-Oct-12,57,27-Dec-12,5400,312.15,5619.7
1-Nov-12,56,27-Dec-12,5400,334.75,5645.05
2-Nov-12,55,27-Dec-12,5400,387.4,5697.7
3-Sep-12,114,27-Dec-12,5500,144.05,5253.75
4-Sep-12,113,27-Dec-12,5500,143.15,5274
5-Sep-12,112,27-Dec-12,5500,125.4,5225.7
17-Dec-12,10,27-Dec-12,5500,387.2,5857.9
18-Dec-12,9,27-Dec-12,5500,427.7,5896.8
19-Dec-12,8,27-Dec-12,5500,446.6,5929.6
20-Dec-12,7,27-Dec-12,5500,432.5,5916.4
21-Dec-12,6,27-Dec-12,5500,351.55,5847.7
24-Dec-12,3,27-Dec-12,5500,362.5,5855.75
26-Dec-12,1,27-Dec-12,5500,411.1,5905.6
3-Sep-12,114,27-Dec-12,5600,101.2,5253.75
4-Sep-12,113,27-Dec-12,5600,103,5274
5-Sep-12,112,27-Dec-12,5600,85.2,5225.7
24-Dec-12,3,27-Dec-12,5600,263.55,5855.75
26-Dec-12,1,27-Dec-12,5600,311.4,5905.6
3-Sep-12,114,27-Dec-12,5700,71,5253.75
4-Sep-12,113,27-Dec-12,5700,73.5,5274
5-Sep-12,112,27-Dec-12,5700,58.7,5225.7
6-Sep-12,111,27-Dec-12,5700,58.45,5238.4
18-Dec-12,9,27-Dec-12,5700,230.05,5896.8
19-Dec-12,8,27-Dec-12,5700,246.95,5929.6
20-Dec-12,7,27-Dec-12,5700,232.3,5916.4
21-Dec-12,6,27-Dec-12,5700,154.8,5847.7
24-Dec-12,3,27-Dec-12,5700,164.25,5855.75
26-Dec-12,1,27-Dec-12,5700,210.75,5905.6
3-Sep-12,114,27-Dec-12,5800,50.75,5253.75
20-Dec-12,7,27-Dec-12,5800,135.6,5916.4
21-Dec-12,6,27-Dec-12,5800,69.3,5847.7
24-Dec-12,3,27-Dec-12,5800,71.9,5855.75
26-Dec-12,1,27-Dec-12,5800,112.15,5905.6
3-Sep-12,114,27-Dec-12,5900,27.4,5253.75
4-Sep-12,113,27-Dec-12,5900,31.2,5274
20-Dec-12,7,27-Dec-12,5900,58.25,5916.4
21-Dec-12,6,27-Dec-12,5900,19.3,5847.7
24-Dec-12,3,27-Dec-12,5900,14.25,5855.75
26-Dec-12,1,27-Dec-12,5900,26.35,5905.6
